"","file","Specificity"
"90","file90",0.0998114788437369
"91","file91",0.0977683315621679
"92","file92",0.0956973293768546
"93","file93",0.117341977309562
"94","file94",0.104046242774566
"95","file95",0.0912735533876787
"96","file96",0.119747899159664
"97","file97",0.0992201928996511
"98","file98",0.103098754706053
"99","file99",0.093862080208673
"100","file100",0.0934615884570389
"101","file101",0.104999079359234
"102","file102",0.0986881083368599
"103","file103",0.0888345174798852
"104","file104",0.091050485518517
"105","file105",0.103619693992975
"106","file106",0.109622096781144
"107","file107",0.12126339537507
"108","file108",0.1021620655767
"109","file109",0.0811694402015167
"110","file110",0.0786999182338512
"111","file111",0.0857510602831642
"112","file112",0.118479221927498
"113","file113",0.0963746394434704
"114","file114",0.0692761141240274
"115","file115",0.0843230403800475
"116","file116",0.0738272572847249
"117","file117",0.0866719555731852
"118","file118",0.0871936586430078
"119","file119",0.0868321037335122
"120","file120",0.0874748413067038
"121","file121",0.0958438231526876
"122","file122",0.0900671553351183
"123","file123",0.085406231428814
"124","file124",0.0813307921776599
"125","file125",0.0988383062451147
"126","file126",0.0812597976343167
"127","file127",0.0790435225012719
"128","file128",0.0802916274694262
"129","file129",0.1000659825715
"130","file130",0.0563274903805045
"131","file131",0.0992697282984501
"132","file132",0.0709190591286919
"133","file133",0.0667545949625596
"134","file134",0.0691372665283131
"135","file135",0.110571850601393
"136","file136",0.0835406234857051
"137","file137",0.0821339330334833
"138","file138",0.071449910376419
"139","file139",0.0747561148027711
"140","file140",0.125665722379603
"141","file141",0.117138032925285
"142","file142",0.105317884729649
"143","file143",0.116028433845448
"144","file144",0.102587729401828
"145","file145",0.119927159209157
"146","file146",0.0850306224184589
"147","file147",0.0909480093231223
"148","file148",0.0852863473666269
"149","file149",0.10053574161947
"150","file150",0.0761630003606203
"151","file151",0.0893455562633284
"152","file152",0.0894986418673173
"153","file153",0.0604781409345482
"154","file154",0.0918849658314351
"155","file155",0.102140202486223
"156","file156",0.108546968780533
"157","file157",0.11169949869378
"158","file158",0.101166059823939
"159","file159",0.0756939961265332
"160","file160",0.0880538418395962
"161","file161",0.0919794580602063
"162","file162",0.0860709592641262
"163","file163",0.0935251798561151
"164","file164",0.0946716536881476
"165","file165",0.114246854811289
"166","file166",0.119071644803229
"167","file167",0.102080413926916
"168","file168",0.0964023057046313
"169","file169",0.0713441346220708
"170","file170",0.0760781534723628
"171","file171",0.0749378109452736
"172","file172",0.0763649555595864
"173","file173",0.0714975128071869
"174","file174",0.0744592496298704
"175","file175",0.0849491757068421
"176","file176",0.0665478677645324
"177","file177",0.118768468210847
"178","file178",0.0840734795790976
"179","file179",0.116951809927465
"180","file180",0.115550030239903
"181","file181",0.0809940330892324
"182","file182",0.109908380204464
"183","file183",0.093492413178544
"184","file184",0.0924912280701754
"185","file185",0.0756686838822932
"186","file186",0.0772412064499958
"187","file187",0.105018226944854
"188","file188",0.0896704106057816
"189","file189",0.100943970767357
"190","file190",0.121313469139556
"191","file191",0.063618501407254
"192","file192",0.0898928378690926
"193","file193",0.0839480048367594
"194","file194",0.0600557403578171
"195","file195",0.0703076556165037
"196","file196",0.10681472997535
"197","file197",0.113848136399683
"198","file198",0.11343208636706
"199","file199",0.116912533395284
"200","file200",0.124452714535902
"201","file201",0.113256432208354
"202","file202",0.104629325320438
"203","file203",0.0927258193445244
"204","file204",0.083005366726297
"205","file205",0.178861788617886
"206","file206",0.103143821145902
"207","file207",0.101586851799377
"208","file208",0.103405142460042
"209","file209",0.102756815968841
"210","file210",0.0956443955136586
"211","file211",0.0862363898015151
"212","file212",0.0996090695856138
"213","file213",0.10074823171801
"214","file214",0.0972524279903711
"215","file215",0.0984518893133986
"216","file216",0.0596239251629973
"217","file217",0.0687103594080338
"218","file218",0.0961166988609871
"219","file219",0.101740524447498
"220","file220",0.0902819915051257
"221","file221",0.0942584143927004
"222","file222",0.0982999335169532
"223","file223",0.0940957474699806
"224","file224",0.0881624927198602
"225","file225",0.110435319543069
"226","file226",0.104279390063945
"227","file227",0.100080628905463
"228","file228",0.0755518990813109
"229","file229",0.138794567062818
"230","file230",0.0922534873687743
"231","file231",0.0951025056947608
"232","file232",0.108368313628837
"233","file233",0.127626307045832
"234","file234",0.115924836291164
"235","file235",0.113855573261763
"236","file236",0.127194419736904
"237","file237",0.10270858679644
"238","file238",0.105765175356065
"239","file239",0.0727087009007336
"240","file240",0.0866719555731852
"241","file241",0.0871936586430078
"242","file242",0.0868321037335122
"243","file243",0.0874748413067038
"244","file244",0.0958438231526876
"245","file245",0.0900671553351183
"246","file246",0.085406231428814
"247","file247",0.0813307921776599
"248","file248",0.0918550412630068
"249","file249",0.0781846136324811
"250","file250",0.0905203565405926
"251","file251",0.0847410302945693
"252","file252",0.0822057325767496
"253","file253",0.0934997644842204
"254","file254",0.104457720588235
"255","file255",0.085108604845447
"256","file256",0.119599352087534
"257","file257",0.100112170499159
"258","file258",0.100078678206137
"259","file259",0.0780623870511511
"260","file260",0.09761147300914
"261","file261",0.0813524696594588
"262","file262",0.0793353615726656
"263","file263",0.0796198977755381
"264","file264",0.0924657534246575
"265","file265",0.0988216472325631
"266","file266",0.0712885840274375
"267","file267",0.0600209549468642
"268","file268",0.111159216365408
"269","file269",0.0943922862217711
"270","file270",0.094994261499073
"271","file271",0.0814408372707413
"272","file272",0.122991401024928
"273","file273",0.123459167950693
